Label (Grouping),"San Diego County, California!!Occupied housing units!!Estimate","San Diego County, California!!Occupied housing units!!Margin of Error","San Diego County, California!!Percent occupied housing units!!Estimate","San Diego County, California!!Percent occupied housing units!!Margin of Error","San Diego County, California!!Owner-occupied housing units!!Estimate","San Diego County, California!!Owner-occupied housing units!!Margin of Error","San Diego County, California!!Percent owner-occupied housing units!!Estimate","San Diego County, California!!Percent owner-occupied housing units!!Margin of Error","San Diego County, California!!Renter-occupied housing units!!Estimate","San Diego County, California!!Renter-occupied housing units!!Margin of Error","San Diego County, California!!Percent renter-occupied housing units!!Estimate","San Diego County, California!!Percent renter-occupied housing units!!Margin of Error"
"        Less than $20,000","88,845","±5,452",7.60%,±0.5,"31,567","±2,751",4.90%,±0.4,"57,278","±4,933",10.70%,±0.9
"        $20,000 to $34,999","92,711","±5,028",7.90%,±0.4,"34,757","±3,068",5.40%,±0.5,"57,954","±4,625",10.90%,±0.8
"        $35,000 to $49,999","87,485","±5,149",7.50%,±0.4,"34,886","±3,033",5.50%,±0.5,"52,599","±4,190",9.90%,±0.8
"        $50,000 to $74,999","160,524","±6,584",13.70%,±0.6,"69,907","±4,033",10.90%,±0.6,"90,617","±5,469",17.00%,±1.0
"        $75,000 or more","714,075","±9,653",60.90%,±0.7,"462,916","±8,393",72.40%,±0.8,"251,159","±8,078",47.10%,±1.3
        Zero or negative income,"13,913","±2,586",1.20%,±0.2,"5,265","±1,329",0.80%,±0.2,"8,648","±2,153",1.60%,±0.4
